"h.ethnicity","g.ethnicity","prob","SE","df","t.ratio","p.value","cate","prob.p","SE.p","p.value.p"
"WHITE","WHITE",0.624669655043313,0.00166774082543716,6,374.560390628785,2.44412786833046e-14,"Without listing attributes","0.625","0.002","< .001"
"BLACK","WHITE",0.550710141320662,0.00262346574312403,6,209.917031607539,7.88610393374239e-13,"Without listing attributes","0.551","0.003","< .001"
"ASIAN","WHITE",0.581058731401763,0.00283330510121635,6,205.081595749188,9.06945148126789e-13,"Without listing attributes","0.581","0.003","< .001"
"WHITE","BLACK",0.143304594031696,0.00120681247822993,6,118.746364175722,2.40489907176174e-11,"Without listing attributes","0.143","0.001","< .001"
"BLACK","BLACK",0.21655045874421,0.00217237913048239,6,99.6835477314328,6.8687023213331e-11,"Without listing attributes","0.217","0.002","< .001"
"ASIAN","BLACK",0.149518256860694,0.0020477944718929,6,73.0142887447517,4.44195603806087e-10,"Without listing attributes","0.150","0.002","< .001"
"WHITE","ASIAN",0.232025750924991,0.0014539113901969,6,159.587270922726,4.08362391965614e-12,"Without listing attributes","0.232","0.001","< .001"
"BLACK","ASIAN",0.232739399935128,0.00222872742057941,6,104.427036606667,5.19755351894793e-11,"Without listing attributes","0.233","0.002","< .001"
"ASIAN","ASIAN",0.269423011737542,0.00254775166240717,6,105.749322319345,4.819774456366e-11,"Without listing attributes","0.269","0.003","< .001"
"WHITE","WHITE",0.68225842863529,0.00611933051035745,22,111.492331960255,8.80966232268583e-32,"With listing attributes","0.682","0.006","< .001"
"BLACK","WHITE",0.652628429745156,0.006656433097574,22,98.04476664582,1.48129569215106e-30,"With listing attributes","0.653","0.007","< .001"
"ASIAN","WHITE",0.654984502106916,0.0068546691869195,22,95.5530433703201,2.60643637263404e-30,"With listing attributes","0.655","0.007","< .001"
"WHITE","BLACK",0.176818729825795,0.00444043916475027,22,39.8200996039857,5.33467885914445e-22,"With listing attributes","0.177","0.004","< .001"
"BLACK","BLACK",0.235673426305311,0.00570985616512388,22,41.274844670312,2.44692510686524e-22,"With listing attributes","0.236","0.006","< .001"
"ASIAN","BLACK",0.180826112616032,0.00488670144045624,22,37.0037160688805,2.61862185323092e-21,"With listing attributes","0.181","0.005","< .001"
"WHITE","ASIAN",0.140922841538916,0.00422631881834569,22,33.3441104649263,2.49066889340993e-20,"With listing attributes","0.141","0.004","< .001"
"BLACK","ASIAN",0.111698143949532,0.00360081523157852,22,31.0202375756354,1.1823771717999e-19,"With listing attributes","0.112","0.004","< .001"
"ASIAN","ASIAN",0.164189385277051,0.00502059522696008,22,32.7031712087386,3.78656069380391e-20,"With listing attributes","0.164","0.005","< .001"
