"h.ethnicity","g.ethnicity","tmp.trend","SE","df","t.ratio","p.value","cate","tmp.trend.p","SE.p","p.value.p"
"WHITE","WHITE",0.028787095264434,0.00151626714800456,12,18.9855035125693,2.55905803314555e-10,"Without listing attributes"," 0.029","0.002","< .001"
"BLACK","WHITE",0.0424306934916672,0.00218755234515277,12,19.3964243121707,1.99414526861569e-10,"Without listing attributes"," 0.042","0.002","< .001"
"ASIAN","WHITE",0.0368904392460934,0.00247268172269941,12,14.9192024624262,4.13397708076773e-09,"Without listing attributes"," 0.037","0.002","< .001"
"WHITE","BLACK",0.0205600333887155,0.00147833514854129,12,13.9075590599348,9.19823578023288e-09,"Without listing attributes"," 0.021","0.001","< .001"
"BLACK","BLACK",0.0484979885595251,0.00170104787912798,12,28.5106546115486,2.15204569689876e-12,"Without listing attributes"," 0.048","0.002","< .001"
"ASIAN","BLACK",0.0236623547692325,0.00242321481106664,12,9.76486057330466,4.6284410169856e-07,"Without listing attributes"," 0.024","0.002","< .001"
"WHITE","ASIAN",0.0197919236991169,0.00151847739150149,12,13.0340588604657,1.91534335597707e-08,"Without listing attributes"," 0.020","0.002","< .001"
"BLACK","ASIAN",0.019525115090552,0.00231666696608019,12,8.428106144056,2.19623787258295e-06,"Without listing attributes"," 0.020","0.002","< .001"
"ASIAN","ASIAN",0.0342372837220069,0.00237963890282497,12,14.3875962362871,6.2539442774039e-09,"Without listing attributes"," 0.034","0.002","< .001"
"WHITE","WHITE",0.0143593063037333,0.0017810850503159,28,8.06211152083192,8.86820582625937e-09,"With listing attributes"," 0.014","0.002","< .001"
"BLACK","WHITE",0.0397567800687693,0.00244649212761965,28,16.2505244222679,8.67044361469844e-16,"With listing attributes"," 0.040","0.002","< .001"
"ASIAN","WHITE",0.0309206335908776,0.00289097659833178,28,10.6955668920738,2.13712010903232e-11,"With listing attributes"," 0.031","0.003","< .001"
"WHITE","BLACK",0.0177671285480501,0.00190890169984225,28,9.30751360822736,4.57908056053184e-10,"With listing attributes"," 0.018","0.002","< .001"
"BLACK","BLACK",0.0577385080712451,0.00239857601091177,28,24.0719943035272,2.9853148428424e-20,"With listing attributes"," 0.058","0.002","< .001"
"ASIAN","BLACK",0.022459809877529,0.00306016131083558,28,7.33942024494009,5.43018910301978e-08,"With listing attributes"," 0.022","0.003","< .001"
"WHITE","ASIAN",0.0108496000331377,0.00133385912197382,28,8.13399245422763,7.43265279882217e-09,"With listing attributes"," 0.011","0.001","< .001"
"BLACK","ASIAN",0.00825966318986637,0.00154484459676648,28,5.34659810258891,1.07597094136133e-05,"With listing attributes"," 0.008","0.002","< .001"
"ASIAN","ASIAN",0.0321344509475101,0.00221125230196089,28,14.5322408116948,1.43724470704934e-14,"With listing attributes"," 0.032","0.002","< .001"
