"h.ethnicity","g.ethnicity","tmp.trend","SE","df","t.ratio","p.value","cate","tmp.trend.p","SE.p","p.value.p"
"ASIAN","WHITE",0.432385350894378,0.0220704546375473,12,19.5911392853133,1.77492813225408e-10,"Without listing attributes"," 0.432","0.022","< .001"
"BLACK","WHITE",0.487242706925258,0.0188407710620946,12,25.8610810204861,6.81719899287259e-12,"Without listing attributes"," 0.487","0.019","< .001"
"WHITE","WHITE",0.363028456023585,0.0142010868822627,12,25.5634275765901,7.81516446089271e-12,"Without listing attributes"," 0.363","0.014","< .001"
"ASIAN","BLACK",0.29204483739835,0.0225344421811805,12,12.9599319588327,2.0423882626312e-08,"Without listing attributes"," 0.292","0.023","< .001"
"BLACK","BLACK",0.442568346069748,0.012232425385633,12,36.1799342417854,1.27263712590073e-13,"Without listing attributes"," 0.443","0.012","< .001"
"WHITE","BLACK",0.259243752846317,0.0138667184291481,12,18.695393158152,3.06120613085448e-10,"Without listing attributes"," 0.259","0.014","< .001"
"ASIAN","ASIAN",0.395029451567666,0.0207808883760643,12,19.0092668041404,2.52206356403935e-10,"Without listing attributes"," 0.395","0.021","< .001"
"BLACK","ASIAN",0.277419461469748,0.0215831174566933,12,12.8535399034172,2.24086506400298e-08,"Without listing attributes"," 0.277","0.022","< .001"
"WHITE","ASIAN",0.269434317003572,0.0142721025480303,12,18.8783899286624,2.73324698388396e-10,"Without listing attributes"," 0.269","0.014","< .001"
"ASIAN","WHITE",0.348844492839561,0.0257666256013942,28,13.5386176768403,8.22157479615195e-14,"With listing attributes"," 0.349","0.026","< .001"
"BLACK","WHITE",0.461740769834194,0.0215584397117288,28,21.4180977848311,6.67709513735406e-19,"With listing attributes"," 0.462","0.022","< .001"
"WHITE","WHITE",0.174459315067409,0.0166721427462269,28,10.4641207625751,3.50242564660126e-11,"With listing attributes"," 0.174","0.017","< .001"
"ASIAN","BLACK",0.276331863618253,0.0295382465905345,28,9.35505304186889,4.10589267374052e-10,"With listing attributes"," 0.276","0.030","< .001"
"BLACK","BLACK",0.532454656687847,0.0194630916818233,28,27.3571468188227,9.56818161900366e-22,"With listing attributes"," 0.532","0.019","< .001"
"WHITE","BLACK",0.213610319829748,0.0184851895126087,28,11.5557549293203,3.60822678785172e-12,"With listing attributes"," 0.214","0.018","< .001"
"ASIAN","ASIAN",0.377418974685986,0.0197948770791143,28,19.0664975173906,1.41569375039946e-17,"With listing attributes"," 0.377","0.020","< .001"
"BLACK","ASIAN",0.157733849478905,0.0150034085378761,28,10.513200989009,3.1523323548215e-11,"With listing attributes"," 0.158","0.015","< .001"
"WHITE","ASIAN",0.154977897818677,0.0127788983539542,28,12.127641485678,1.16016821374479e-12,"With listing attributes"," 0.155","0.013","< .001"
